Qualification,Field,Common Skillset
Bachelor of Arts (B.A.),"Arts, Humanities, Social Sciences","Communication, Critical Thinking, Research, Writing"
Bachelor of Science (B.Sc.),Science,"Analytical Thinking, Laboratory Skills, Problem-Solving, Scientific Literacy"
Bachelor of Commerce (B.Com.),Commerce,"Accounting, Finance, Marketing, Business Communication"
Bachelor of Engineering (B.E.),Engineering,"Design Thinking, Project Management, Software Skills (for some branches), Technical Expertise"
Bachelor of Technology (B.Tech.),Technology,"Programming Languages, Software Development, Technical Expertise"
Bachelor of Computer Applications (BCA),Computer Applications,"Database Management, Networking, Programming Languages, Web Development"
Bachelor of Business Administration (BBA),Business Administration,"Business Management, Leadership, Marketing, Teamwork"
Bachelor of Laws (LL.B.),Law,"Critical Analysis, Legal Research, Public Speaking, Writing"
Bachelor of Medicine and Bachelor of Surgery (M.B.B.S.),Medicine,"Diagnosis, Patient Care, Medical Knowledge, Surgical Skills"
Bachelor of Dental Surgery (B.D.S.),Dentistry,"Dental Procedures, Patient Care, Medical Knowledge"
Bachelor of Pharmacy (B.Pharm),Pharmacy,"Drug Knowledge, Formulation Development, Laboratory Skills, Pharmacology"
Bachelor of Journalism and Mass Communication (BJMC),Journalism & Mass Communication,"Communication Skills, Media Literacy, Research, Writing"
Bachelor of Animation and Multimedia (BAM),Animation & Multimedia,"Animation Techniques, Graphic Design, Multimedia Production, Software Skills"
Bachelor of Hotel Management (BHM),Hotel Management,"Customer Service, Event Management, Hospitality Skills, Operations Management"
Bachelor of Fashion Design (BFD),Fashion Design,"Design Skills, Pattern Making, Software Skills (e.g. CAD), Trend Analysis"
Bachelor of Architecture (B.Arch.),Architecture,"Design Thinking, Drafting Skills, Project Management, Technical Skills"
Bachelor of Science in Agriculture (B.Sc. Ag.),Agriculture,"Agricultural Practices, Farm Management, Research Skills, Sustainability Knowledge"
Bachelor of Education (B.Ed.),Education,"Classroom Management, Curriculum Development, Instructional Design, Teaching Skills"
Bachelor of Social Work (BSW),Social Work,"Case Management, Communication Skills, Community Development, Counseling"
Bachelor of Physiotherapy (B.P.T.),Physiotherapy,"Anatomy & Physiology Knowledge, Rehabilitation Techniques, Treatment Planning"
Bachelor of Science in Information Technology (B.Sc. IT),Information Technology,"Cybersecurity, Networking, System Administration, Web Development"
